xs,mean_lm,mean_lowess,UCI_lm,UCI_lowess,LCI_lm,LCI_lowess,PValue
0,0.333674983751991,,0.710580767385671,,0.00635091863163137,,0.71
0.002,0.334043314475055,0.256597352863507,0.709650805419445,0.332056281214808,0.00810542134540557,0.187935874390599,0.71
0.004,0.334411645198118,0.26498947048644,0.70872084345322,0.337226100174427,0.00985992405917977,0.19943807372229,0.71
0.006,0.334779975921181,0.273265534533776,0.707790881486994,0.342552799861551,0.011614426772954,0.211232302062817,0.71
0.008,0.335148306644245,0.281375957925541,0.706860919520768,0.347028220924276,0.0133689294867282,0.2219302080091,0.71
0.01,0.335516637367308,0.289315830674621,0.705930957554542,0.352850760985132,0.0151234322005024,0.231490234931897,0.71
0.012,0.335884968090371,0.297080242793899,0.705000995588317,0.358600685871846,0.0168779349142766,0.241475267372784,0.71
0.014,0.336253298813434,0.304664301804961,0.704071033622091,0.364247835269655,0.0186324376280508,0.250270159676784,0.71
0.016,0.336621629536498,0.312063320489183,0.703141071655865,0.369211619432989,0.020386940341825,0.259976077533934,0.71
0.018,0.336989960259561,0.319273092575787,0.70221110968964,0.374392591170912,0.0221414430555992,0.268533305477257,0.71
0.02,0.337358290982624,0.326291870567839,0.701281147723414,0.379693530444548,0.0238959457693734,0.277165728236202,0.71
0.022,0.337726621705687,0.333120407064085,0.700351185757188,0.384379702412093,0.0256504484831476,0.285503300379817,0.71
0.024,0.338094952428751,0.339761379666777,0.699421223790962,0.389519101733911,0.0274049511969218,0.294495660422604,0.71
0.026,0.338463283151814,0.346217754669198,0.698491261824737,0.394220975104299,0.029159453910696,0.302306304753327,0.71
0.028,0.338831613874877,0.352492079519183,0.697561299858511,0.399145817509303,0.0309139566244702,0.308945397894723,0.71
0.03,0.33919994459794,0.358587628723567,0.696631337892285,0.404700117058853,0.0326684593382444,0.315723810817153,0.71
0.032,0.339568275321004,0.364507605100743,0.695701375926059,0.410002330313208,0.0344229620520186,0.322947104299529,0.71
0.034,0.339936606044067,0.370255042630483,0.694771413959834,0.415748692810865,0.0361774647657928,0.329512741451699,0.71
0.036,0.34030493676713,0.375832378691902,0.693841451993608,0.421833861666582,0.037931967479567,0.335400931316765,0.71
0.038,0.340673267490193,0.381242675942864,0.692911490027382,0.427753742240915,0.0396864701933412,0.339970239063566,0.71
0.04,0.341041598213257,0.386487815143405,0.691981528061157,0.433791269656944,0.0414409729071154,0.344635609976662,0.71
0.042,0.34140992893632,0.391566321733826,0.691051566094931,0.439216435373588,0.0431954756208896,0.349258260093559,0.71
0.044,0.341778259659383,0.396476750232356,0.690121604128705,0.44496193581279,0.0449499783346638,0.353896897406493,0.71
