xs,mean_lm,mean_lowess,UCI_lm,UCI_lowess,LCI_lm,LCI_lowess,PValue
0,0.414274474596063,,0.47789535058386,,0.346570135132855,,0.472
0.002,0.414262721542361,0.285347161920413,0.477692835017755,0.328950373197142,0.346712956567017,0.246068490462735,0.472
0.004,0.414250968488659,0.289005800579023,0.477490319451651,0.330634768670915,0.34685577800118,0.251731286570854,0.472
0.006,0.414239215434956,0.292600538760125,0.477287803885546,0.332377818851757,0.346998599435343,0.257956781339015,0.472
0.008,0.414227462381254,0.296138471979858,0.477085288319441,0.334233810154532,0.347141420869506,0.262840165594751,0.472
0.01,0.414215709327552,0.299618933728272,0.476882772753337,0.336168209743797,0.347284242303669,0.267495829922367,0.472
0.012,0.41420395627385,0.303041257495419,0.476680257187232,0.338121346666151,0.347427063737832,0.271701771396007,0.472
0.014,0.414192203220147,0.306404776771352,0.476477741621128,0.340345954984512,0.347569885171995,0.275762031923129,0.472
0.016,0.414180450166445,0.309708825046121,0.476275226055023,0.342220896916631,0.347712706606158,0.279615933333785,0.472
0.018,0.414168697112743,0.312952735809779,0.476072710488919,0.344323252914617,0.347855528040321,0.282492666618282,0.472
0.02,0.414156944059041,0.316135842552377,0.475870194922814,0.345824501439652,0.347998349474484,0.287214323708966,0.472
0.022,0.414145191005338,0.319257478763967,0.47566767935671,0.348032111885163,0.348158257505923,0.291442600858878,0.472
0.024,0.414133437951636,0.322316977934601,0.475465163790605,0.350466849651254,0.348337607892557,0.294979349719464,0.472
0.026,0.414121684897934,0.32531367355433,0.475262648224501,0.352406282014436,0.348516958279192,0.298790788903648,0.472
0.028,0.414109931844232,0.328246899283248,0.475060132658396,0.354377757167317,0.348696308665827,0.30202528168624,0.472
0.03,0.41409817879053,0.33111599448455,0.474857617092292,0.356221155079208,0.348875659052462,0.305546693229937,0.472
0.032,0.414086425736827,0.333920306143138,0.474655101526187,0.35794648745892,0.349055009439096,0.308033132034173,0.472
0.034,0.414074672683125,0.336659257772955,0.474452585960083,0.359881467254006,0.349234359825731,0.310594626360318,0.472
0.036,0.414062919629423,0.339332366375794,0.474250070393978,0.362070682157857,0.349413710212366,0.312848474963863,0.472
0.038,0.414051166575721,0.341939314525285,0.474047554827874,0.365378246061798,0.349593060599,0.315258265004603,0.472
0.04,0.414039413522018,0.344479969706535,0.473845039261769,0.36751517066852,0.349772410985635,0.317622444678739,0.472
0.042,0.414027660468316,0.346954329990303,0.473642523695664,0.369776888314334,0.34995176137227,0.319913660751821,0.472
0.044,0.414015907414614,0.349362715959643,0.473441486213767,0.372517925069756,0.350147435537726,0.322440680184504,0.472
0.046,0.414004154360912,0.351705592314654,0.473243797720647,0.374780142044929,0.350360192487879,0.324998129103605,0.472
0.048,0.413992401307209,0.353983679167926,0.473046109227528,0.377271617363235,0.350572949438032,0.327497065349794,0.472
0.05,0.413980648253507,0.356197799861407,0.472848420734408,0.379519162262192,0.350785706388185,0.32992497565355,0.472
0.052,0.413968895199805,0.35834901608941,0.472650732241288,0.381370603588693,0.350998463338338,0.331969027870794,0.472
0.054,0.413957142146103,0.360438535380957,0.472453043748168,0.383553012745365,0.351211220288491,0.333542428655742,0.472
0.056,0.4139453890924,0.362467764420686,0.472255355255048,0.385946697532272,0.351423977238644,0.33480766900527,0.472
0.058,0.413933636038698,0.364438198918237,0.472057666761928,0.388019068514444,0.351636734188797,0.336404353509462,0.472
0.06,0.413921882984996,0.366351388986911,0.471826254078721,0.390147244993098,0.351849491138949,0.338113311320035,0.472
