xs,mean_lm,mean_lowess,UCI_lm,UCI_lowess,LCI_lm,LCI_lowess,PValue
0,0.40630758574616,,0.556994498791286,,0.264977057321292,,0.534
0.002,0.406321573630176,,0.556615290856271,,0.265368623958158,,0.534
0.004,0.406335561514192,0.275509645968661,0.556236082921255,0.374366825350291,0.265760190595024,0.171580975565727,0.534
0.006,0.406349549398207,0.283887893765841,0.55585687498624,0.382172917255304,0.266147551274005,0.188292059276483,0.534
0.008,0.406363537282223,0.290341035061396,0.555477667051225,0.39032454062068,0.266534613877754,0.198969998993419,0.534
0.01,0.406377525166239,0.294796999761683,0.55509845911621,0.390691004839157,0.266921676481502,0.197505981622666,0.534
0.012,0.406391513050254,0.300020853488314,0.554719251181195,0.391123854607032,0.267308739085251,0.20736917784039,0.534
0.014,0.40640550093427,0.305024342882284,0.55434004324618,0.389999643733386,0.267695801689,0.216257702566953,0.534
0.016,0.406419488818286,0.309926075281909,0.553960835311165,0.390791499233609,0.268082864292749,0.224413806992015,0.534
0.018,0.406433476702302,0.31486294408838,0.55358162737615,0.392572162657685,0.268469926896498,0.232014556551227,0.534
0.02,0.406447464586317,0.31960624926255,0.553202419441135,0.394037536518077,0.268856989500247,0.240945567755401,0.534
0.022,0.406461452470333,0.324186732402691,0.55282321150612,0.393446044242878,0.269238549936002,0.250525208657737,0.534
0.024,0.406475440354349,0.328660963268034,0.552444003571105,0.395106714088801,0.269582106984346,0.261137680631635,0.534
0.026,0.406489428238364,0.333028047351111,0.55206479563609,0.396670333907026,0.269925664032689,0.268736141263921,0.534
0.028,0.40650341612238,0.337287339400713,0.551685587701075,0.398183155094476,0.270269221081033,0.276334823022648,0.534
0.03,0.406517404006396,0.341439044187638,0.55130637976606,0.401006797055025,0.270612778129377,0.281378357798051,0.534
0.032,0.406531391890412,0.345483492734207,0.550927171831045,0.403778578764778,0.27095633517772,0.285116947913787,0.534
0.034,0.406545379774427,0.349420612957065,0.55054796389603,0.406099562639373,0.271299892226064,0.289460863965084,0.534
0.036,0.406559367658443,0.353250986009068,0.550168755961015,0.409305922080153,0.271643449274408,0.293628512294765,0.534
0.038,0.406573355542459,0.356975254911916,0.549789548026,0.412819265605572,0.271987006322751,0.29747636507765,0.534
0.04,0.406587343426474,0.360594156162216,0.549410340090985,0.415697097087183,0.272330563371095,0.298167802923555,0.534
0.042,0.40660133131049,0.364108381536293,0.54903113215597,0.41766690027552,0.272674120419438,0.299387260984418,0.534
0.044,0.406615319194506,0.367518731081362,0.548651924220955,0.420330475624528,0.273009598991216,0.302432043068525,0.534
0.046,0.406629307078521,0.370825955134921,0.54827271628594,0.423648305455919,0.273291488309771,0.307819459028588,0.534
0.048,0.406643294962537,0.374031236101125,0.547838667489009,0.427514721563598,0.273573377628327,0.310986050835593,0.534
0.05,0.406657282846553,0.377135184467045,0.547387622110785,0.430345445557177,0.273855266946882,0.312136672290864,0.534
0.052,0.406671270730569,0.380138794591042,0.54693657673256,0.434499205685954,0.274137156265437,0.315113378733578,0.534
0.054,0.406685258614584,0.383042691605976,0.546485531354335,0.43715123817362,0.274419045583992,0.31610105720776,0.534
0.056,0.4066992464986,0.385846664720485,0.54603448597611,0.441776509977327,0.274699512060451,0.317959432619373,0.534
0.058,0.406713234382616,0.388547809691893,0.545583440597885,0.444513325450503,0.274974834539998,0.32005015194186,0.534
0.06,0.406727222266631,0.391146637743514,0.54513239521966,0.448754404594855,0.275250157019545,0.322704569379007,0.534
0.062,0.406741210150647,0.393642901688814,0.544683395126147,0.452401428790523,0.275525479499092,0.325338116899883,0.534
0.064,0.406755198034663,0.396037868679128,0.544238027618779,0.455749449212336,0.275800801978639,0.32762205342139,0.534
0.066,0.406769185918679,0.398329712296191,0.543792660111411,0.458343858056423,0.27610012357011,0.329240293451907,0.534
0.068,0.406783173802694,0.400517237149995,0.543347292604043,0.462178372446231,0.276454047393041,0.330029318916709,0.534
0.07,0.40679716168671,0.402601106415011,0.542901925096675,0.466024314266509,0.276807971215972,0.330659476817327,0.534
0.072,0.406811149570726,0.404580025849617,0.542456557589307,0.47075308313953,0.277161895038903,0.331399958074244,0.534
0.074,0.406825137454741,0.406454688023802,0.541991444832965,0.472818199682084,0.277515818861834,0.332269497429586,0.534
0.076,0.406839125338757,0.408225349190224,0.541583627923378,0.473633580434531,0.277869742684765,0.332265791932033,0.534
0.078,0.406853113222773,0.409890979043868,0.541175811013792,0.474504574519564,0.278223666507695,0.332190264213618,0.534
0.08,0.406867101106788,0.411449121230958,0.540767994104205,0.47743870421936,0.278577590330626,0.33213470429811,0.534
0.082,0.406881088990804,0.412892828205589,0.540365420000733,0.479212522905334,0.278931514153557,0.332496601070529,0.534
0.084,0.40689507687482,0.414220499616831,0.539966454035122,0.479751594552857,0.279285437976488,0.333591214463594,0.534
0.086,0.406909064758835,0.41543214931075,0.539567488069511,0.480200472807913,0.279639361799419,0.33456418520012,0.534
0.088,0.406923052642851,0.416534140730758,0.5391685221039,0.480791795130034,0.27999328562235,0.335234847103743,0.534
0.09,0.406937040526867,0.417510773131925,0.538769556138289,0.481117604990783,0.280347209445281,0.335805795689736,0.534
0.092,0.406951028410883,0.418358814894539,0.538365651312808,0.482412642497071,0.280701133268212,0.336962545951673,0.534
0.094,0.406965016294898,0.41907961141013,0.537926498835594,0.485408444841629,0.281055057091143,0.337904017703096,0.534
0.096,0.406979004178914,0.419674508899626,0.537487346358379,0.488847067887217,0.281408980914073,0.337863617133229,0.534
0.098,0.40699299206293,0.420143956312263,0.537048193881164,0.492333452874547,0.281762904737004,0.337662353587243,0.534
0.1,0.407006979946945,0.420492772325672,0.53660904140395,0.493904208227853,0.282116828559935,0.337679578132256,0.534
0.102,0.407020967830961,0.420729335129306,0.536169888926735,0.494996990753618,0.282470752382866,0.337473638243363,0.534
0.104,0.407034955714977,0.420867750811774,0.535730736449521,0.495464519001799,0.282824676205797,0.3372152615883,0.534
0.106,0.407048943598992,0.420920659689477,0.535291583972306,0.493520566300088,0.283178600028728,0.336365725377338,0.534
0.108,0.407062931483008,0.420897372446149,0.534852431495091,0.493541656481527,0.283532523851659,0.334827384254348,0.534
0.11,0.407076919367024,0.420801236382048,0.534413279017877,0.492608003721027,0.28388644767459,0.333297149876372,0.534
0.112,0.40709090725104,0.420638212755132,0.533974126540662,0.490160146220687,0.28424037149752,0.33196767826157,0.534
0.114,0.407104895135055,0.420412600962073,0.533534974063448,0.491837249496864,0.284594295320451,0.331929922627107,0.534
0.116,0.407118883019071,0.420123152425275,0.533095821586233,0.493602128715002,0.284948219143382,0.332360420588438,0.534
