xs,mean_lm,mean_lowess,UCI_lm,UCI_lowess,LCI_lm,LCI_lowess,PValue
0,0.341667383112869,,0.532216423708248,,0.178283987422456,,0.628
0.002,0.34172330210229,0.247402621573942,0.531821700654416,0.419882249323033,0.178644016707765,0.0922511361119168,0.628
0.004,0.341779221091712,0.26708061858087,0.531426977600584,0.459743484815481,0.179088787284658,0.105644391936315,0.628
0.006,0.341835140081133,0.275654041759475,0.531032254546751,0.468843078679091,0.179533557861551,0.109058755334515,0.628
0.008,0.341891059070555,0.279319047164647,0.530637531492919,0.46330054519699,0.179978328438443,0.120045016366852,0.628
0.01,0.341946978059976,0.28449627567964,0.530242808439087,0.463644400905835,0.180423099015336,0.131540073673282,0.628
0.012,0.342002897049398,0.289590140646161,0.529848085385254,0.463938091510037,0.180867869592229,0.141344362628185,0.628
0.014,0.342058816038819,0.294187338150918,0.529453362331422,0.462666074817423,0.181312640169122,0.148094551134503,0.628
0.016,0.342114735028241,0.299023354034591,0.52905863927759,0.464863264742013,0.181757410746015,0.15876667289699,0.628
0.018,0.342170654017662,0.303627278603578,0.528663916223757,0.463404209126649,0.182202181322908,0.17099924254168,0.628
0.02,0.342226573007084,0.30859003714071,0.528269193169925,0.468277208770818,0.1826469518998,0.179806834997099,0.628
0.022,0.342282491996505,0.313326628385332,0.527874470116093,0.466919732527951,0.183091722476693,0.18660492970358,0.628
0.024,0.342338410985927,0.317984418860628,0.527479747062261,0.465647851452367,0.183536493053586,0.195182133424962,0.628
0.026,0.342394329975348,0.322564419108369,0.527085024008428,0.464321666242033,0.183981263630479,0.201438109674367,0.628
0.028,0.34245024896477,0.32706761695847,0.526690300954596,0.462937144330412,0.184421115587144,0.207183342085778,0.628
0.03,0.342506167954191,0.331494892421013,0.526295577900764,0.461846084245912,0.184856315488941,0.212975014443346,0.628
0.032,0.342562086943613,0.335846559392804,0.525900854846931,0.463548382481743,0.185291515390739,0.218535443663726,0.628
0.034,0.342618005933035,0.340123016671896,0.525506131793099,0.464260924521391,0.185726715292537,0.225043169466382,0.628
0.036,0.342673924922456,0.344324368515523,0.525111408739267,0.461870511206051,0.186161915194334,0.233482838611456,0.628
0.038,0.342729843911878,0.348449963295106,0.524716685685434,0.461860824850931,0.186597115096132,0.239772042845875,0.628
0.04,0.342785762901299,0.352499788608443,0.524321962631602,0.460888280072604,0.187032314997929,0.246318821592281,0.628
0.042,0.342841681890721,0.356473638518893,0.52392723957777,0.46272734940373,0.187467514899727,0.252166065685044,0.628
0.044,0.342897600880142,0.360371355662719,0.523532516523938,0.463724760902772,0.187902714801525,0.25796594865611,0.628
0.046,0.342953519869564,0.364192856817826,0.523137793470105,0.462124055322948,0.188337914703322,0.26212627183087,0.628
0.048,0.343009438858985,0.367937897075688,0.522743070416273,0.463037404373838,0.18877311460512,0.266066600092811,0.628
0.05,0.343065357848407,0.371605723135178,0.522348347362441,0.467128875712248,0.189208314506917,0.269687202814877,0.628
0.052,0.343121276837828,0.375195655005417,0.521953624308608,0.469879749950286,0.189643514408715,0.273287789718096,0.628
0.054,0.34317719582725,0.378707120071773,0.521558901254776,0.471334980850083,0.190078714310513,0.276981519549832,0.628
0.056,0.343233114816671,0.3821395050747,0.521164178200944,0.475894184956629,0.19051391421231,0.280024465232063,0.628
0.058,0.343289033806093,0.385491981380632,0.520769455147111,0.480726212900165,0.190949114114108,0.284067639083606,0.628
0.06,0.343344952795515,0.388764010565499,0.520374732093279,0.485260942244789,0.191384314015905,0.288203610392239,0.628
0.062,0.343400871784936,0.391953927945816,0.519980009039447,0.489567363705883,0.191819513917703,0.292169523322401,0.628
0.064,0.343456790774358,0.395060444778892,0.519585285985615,0.493216650605711,0.192254713819501,0.295939075006285,0.628
0.066,0.343512709763779,0.398082396865884,0.519190562931782,0.495999462881245,0.192689913721298,0.300531436010352,0.628
0.068,0.343568628753201,0.401019358143701,0.51879583987795,0.497699613807213,0.193125113623096,0.305325591197907,0.628
0.07,0.343624547742622,0.403871904414828,0.518401116824118,0.503586776906568,0.193560313524893,0.307979546960824,0.628
0.072,0.343680466732044,0.406638923944254,0.518006393770285,0.506099251228904,0.193995513426691,0.310983379267185,0.628
0.074,0.343736385721465,0.409319314731751,0.517611670716453,0.508699027841519,0.194430713328489,0.312689024634674,0.628
0.076,0.343792304710887,0.411913074971937,0.517216947662621,0.510887801583522,0.194865913230286,0.314372606343474,0.628
0.078,0.343848223700308,0.414420401092065,0.516822224608788,0.513055809261239,0.195301113132084,0.316590022180202,0.628
0.08,0.34390414268973,0.416840010614091,0.516427501554956,0.518611258798518,0.195736313033881,0.318705637539342,0.628
0.082,0.343960061679151,0.419170124076868,0.516032778501124,0.523085767527388,0.196171512935679,0.320173058548625,0.628
0.084,0.344015980668573,0.421410373734929,0.515638055447291,0.526428179225655,0.196606712837477,0.321667217694842,0.628
0.086,0.344071899657994,0.423560133780848,0.515243332393459,0.526934266571792,0.197041912739274,0.323325078901853,0.628
0.088,0.344127818647416,0.425620408779648,0.514848609339627,0.529847038774976,0.197477112641072,0.324702674304427,0.628
0.09,0.344183737636837,0.427588971251722,0.514453886285795,0.535044919664905,0.197912312542869,0.325630947365185,0.628
0.092,0.344239656626259,0.429464854821709,0.514059163231962,0.538462132462022,0.198347512444667,0.326852767423444,0.628
0.094,0.34429557561568,0.431248205941732,0.51366444017813,0.541635729365999,0.198782712346465,0.328972948346941,0.628
0.096,0.344351494605102,0.432938927804421,0.513269717124298,0.544662751774267,0.199217912248262,0.331614549986882,0.628
0.098,0.344407413594524,0.434540649367929,0.512874994070466,0.547495318343685,0.19965311215006,0.331858769139535,0.628
0.1,0.344463332583945,0.436056041899483,0.512480271016633,0.549867465058075,0.200088312051857,0.331549376080824,0.628
0.102,0.344519251573367,0.437486703046484,0.512085547962801,0.553057150313983,0.200523511953655,0.331219329597875,0.628
0.104,0.344575170562788,0.43883017500657,0.511690824908969,0.556453084108192,0.200958711855453,0.330867834737786,0.628
0.106,0.34463108955221,0.440085209233306,0.511296101855136,0.559536921452331,0.20139391175725,0.330844636962388,0.628
0.108,0.344687008541631,0.441255942406329,0.510901378801304,0.561012026894716,0.201829111659048,0.331232245115758,0.628
0.11,0.344742927531053,0.442340020583196,0.510506655747472,0.563454872664016,0.20218126007429,0.332086758954648,0.628
0.112,0.344798846520474,0.44333409728111,0.510111932693639,0.565727704632082,0.202511540118147,0.333358629116038,0.628
0.114,0.344854765509896,0.444234827242014,0.509696780174554,0.567440023175301,0.202841820162005,0.334580739768588,0.628
0.116,0.344910684499317,0.445037841015759,0.509242545040177,0.568946580504106,0.203172100205863,0.335752112882017,0.628
0.118,0.344966603488739,0.44573843614603,0.508788309905799,0.570273363561516,0.203502380249721,0.336884848363769,0.628
0.12,0.34502252247816,0.446332958536826,0.508334074771422,0.569924764783299,0.203832660293578,0.337978800026332,0.628
0.122,0.345078441467582,0.446816251737882,0.507879839637044,0.569142033766893,0.204162940337436,0.339256912783053,0.628
0.124,0.345134360457003,0.447179083628835,0.507408691511586,0.56817360566864,0.204493220381294,0.340715352507955,0.628
0.126,0.345190279446425,0.447418365146848,0.506870125612247,0.567727044184134,0.204823500425151,0.340787121491077,0.628
