Comparison,Threshold,Run,t,p
CitCit-GlcCit,0.9,3,-7.38239960631398,9.01615205222551e-13
GlcGlc-CitCit,0.91,3,-3.04481171054349,0.00249549091488036
GlcGlc-GlcCit,0.91,3,-20.3451061640198,4.5260008971029e-80
CitCit-GlcCit,0.91,3,-8.43798589065627,8.68749376742932e-16
GlcGlc-CitCit,0.92,3,-0.889982877749831,0.37410913909462
GlcGlc-GlcCit,0.92,3,-21.0660012873911,1.11503123472672e-83
CitCit-GlcCit,0.92,3,-11.9788390502218,1.29536940137906e-27
GlcGlc-CitCit,0.93,3,-1.77524112089903,0.0769789239985034
GlcGlc-GlcCit,0.93,3,-20.8159286725821,1.32189825885183e-80
CitCit-GlcCit,0.93,3,-10.5209009446669,7.38178465185383e-22
GlcGlc-CitCit,0.94,3,0.392016457773314,0.695377000163822
GlcGlc-GlcCit,0.94,3,-20.5018579264974,8.01760095918715e-77
CitCit-GlcCit,0.94,3,-14.0136844757689,3.51724945822065e-33
GlcGlc-CitCit,0.95,3,0.63753638445667,0.524443195101482
GlcGlc-GlcCit,0.95,3,-21.0633520999994,1.29333092438473e-77
CitCit-GlcCit,0.95,3,-14.8061818817511,4.74700830556015e-35
GlcGlc-CitCit,0.96,3,0.648416061654779,0.517496577381876
GlcGlc-GlcCit,0.96,3,-18.3149850534119,1.59745994581371e-58
CitCit-GlcCit,0.96,3,-13.2353794184304,1.47952942124455e-29
GlcGlc-CitCit,0.97,3,-1.10469019207835,0.27120035989241
GlcGlc-GlcCit,0.97,3,-19.2308789371117,4.9330893673756e-57
CitCit-GlcCit,0.97,3,-11.3807442682628,1.04331757443316e-22
GlcGlc-CitCit,0.98,3,-0.51850712515725,0.605246904123534
GlcGlc-GlcCit,0.98,3,-15.8581368487103,1.86575291488385e-33
CitCit-GlcCit,0.98,3,-11.8393536573795,2.20021182617262e-23
GlcGlc-CitCit,0.99,3,2.22263716190182,0.0276282687757213
GlcGlc-GlcCit,0.99,3,-13.3023053675096,2.26555434766576e-19
CitCit-GlcCit,0.99,3,-15.0169074381737,3.83442671029462e-20
GlcGlc-CitCit,0.9925,3,2.57226452483546,0.0112111903632019
GlcGlc-GlcCit,0.9925,3,-7.60622203261812,7.95861210007418e-08
CitCit-GlcCit,0.9925,3,-8.70283212193789,1.34603978424979e-08
GlcGlc-CitCit,0.995,3,1.63374625953084,0.108584249080966
GlcGlc-GlcCit,0.995,3,-7.99723460901975,1.6450038352326e-08
CitCit-GlcCit,0.995,3,-8.85906574322931,3.36526017924821e-09
GlcGlc-CitCit,0.9,4,-11.2549722021079,6.50808410477897e-28
GlcGlc-GlcCit,0.9,4,-19.2436247016978,8.86254321470013e-72
CitCit-GlcCit,0.9,4,-4.3211278207201,1.70964640795753e-05
GlcGlc-CitCit,0.91,4,-13.0434958538973,7.50454330853471e-36
GlcGlc-GlcCit,0.91,4,-22.7229458020699,1.08188118711037e-93
CitCit-GlcCit,0.91,4,-4.38891896618474,1.27753181741875e-05
GlcGlc-CitCit,0.92,4,-11.1206612866257,6.51061772202788e-27
GlcGlc-GlcCit,0.92,4,-22.3168697397431,1.95159698232064e-89
CitCit-GlcCit,0.92,4,-6.74517774308788,2.87137255212293e-11
GlcGlc-CitCit,0.93,4,-11.1085225995836,1.24446441520727e-26
GlcGlc-GlcCit,0.93,4,-22.1203660843003,4.09242371783891e-87
CitCit-GlcCit,0.93,4,-6.51762559590275,1.31328504940913e-10
GlcGlc-CitCit,0.94,4,-7.93876999117544,8.01987560520559e-15
GlcGlc-GlcCit,0.94,4,-20.5718008881804,5.51778757767565e-76
CitCit-GlcCit,0.94,4,-10.1449747537495,1.14249240338593e-22
GlcGlc-CitCit,0.95,4,-7.598861038302,1.18436221173247e-13
GlcGlc-GlcCit,0.95,4,-21.5847531736866,4.43279683739902e-80
CitCit-GlcCit,0.95,4,-12.004578814633,5.39237801343795e-30
GlcGlc-CitCit,0.96,4,-6.87720133587986,1.72618217361413e-11
GlcGlc-GlcCit,0.96,4,-19.1386374986592,2.79760000401691e-63
CitCit-GlcCit,0.96,4,-11.2513517147088,1.38938586850789e-26
GlcGlc-CitCit,0.97,4,-7.67106159737185,1.17692970767913e-13
GlcGlc-GlcCit,0.97,4,-18.5074732326264,1.91650870352378e-56
CitCit-GlcCit,0.97,4,-8.7846035984015,3.92890596011635e-17
GlcGlc-CitCit,0.98,4,-2.9748352303843,0.00323502122265996
GlcGlc-GlcCit,0.98,4,-13.9514608239363,1.29800075016215e-29
CitCit-GlcCit,0.98,4,-9.22400512123175,2.90055181843087e-17
GlcGlc-CitCit,0.99,4,-0.385378811146825,0.700359989683857
GlcGlc-GlcCit,0.99,4,-12.8800097837219,5.5594861742879e-23
CitCit-GlcCit,0.99,4,-13.8760056465263,3.35840051145921e-22
GlcGlc-CitCit,0.9925,4,1.3319221290412,0.185090732492939
GlcGlc-GlcCit,0.9925,4,-9.68624981968838,1.06919226635966e-10
CitCit-GlcCit,0.9925,4,-11.3340069455548,2.3156818291688e-10
GlcGlc-CitCit,0.995,4,1.92778752548475,0.056834454721416
GlcGlc-GlcCit,0.995,4,-8.74130598591123,2.4902024089487e-10
CitCit-GlcCit,0.995,4,-11.2628600204853,2.29795243474304e-10
GlcGlc-CitCit,0.9,5,1.3962854955317,0.163042700692595
