xs,mean_lm,mean_lowess,UCI_lm,UCI_lowess,LCI_lm,LCI_lowess,PValue
0,0.610369453824695,0.152213645533756,0.946036685886666,1.20205230364992,0.256682733621743,-1.23463614629904,0.172
0.002,0.61002727981306,0.155248190272486,0.944938754912479,1.17986255394777,0.257203798152429,-1.16802922421553,0.172
0.004,0.609685105801425,0.15826812061309,0.943840823938292,1.15798463302764,0.257724862683114,-1.1030841743841,0.172
0.006,0.609342931789791,0.16127349305827,0.942742892964105,1.13722474541396,0.258245927213799,-1.04236351638376,0.172
0.008,0.609000757778156,0.16426436592482,0.941644961989918,1.11711467377503,0.258766991744485,-0.98441097045325,0.172
0.01,0.608658583766521,0.167240804978407,0.940547031015731,1.0972791383144,0.25928805627517,-0.927976023600338,0.172
0.012,0.608316409754887,0.170202953814445,0.939449100041544,1.07771771693244,0.259809120805855,-0.873057964822289,0.172
0.014,0.607974235743252,0.173150964546377,0.938351169067357,1.05842997845497,0.260330185336541,-0.844248326195432,0.172
0.016,0.607632061731617,0.176084954931817,0.937253238093171,1.03941548239682,0.260851249867226,-0.823772566950204,0.172
0.018,0.607289887719983,0.179005065573483,0.936155307118984,1.02067377871732,0.261372314397911,-0.803450910631953,0.172
0.02,0.606947713708348,0.18191148242428,0.935057376144797,1.00220440756726,0.261893378928597,-0.783283363405226,0.172
0.022,0.606605539696713,0.184804397397921,0.93395944517061,0.984006899026943,0.262414443459282,-0.763269931473026,0.172
0.024,0.606263365685079,0.187683994304351,0.932861514196423,0.966080772834684,0.262935507989967,-0.743410621075249,0.172
0.026,0.605921191673444,0.190550358938828,0.931763583222236,0.948425538105437,0.263456572520652,-0.723705438487154,0.172
0.028,0.605579017661809,0.193403520445078,0.930665652248049,0.931040693038841,0.263977637051338,-0.704154390017619,0.172
0.03,0.605236843650175,0.196243512186375,0.929567721273862,0.913957413653202,0.264498701582023,-0.684757482007199,0.172
0.032,0.60489466963854,0.199070373169945,0.928469790299675,0.897210190086779,0.265019766112709,-0.66551472082612,0.172
0.034,0.604552495626905,0.201884150630393,0.927371859325489,0.880729416047389,0.265540830643394,-0.646426112872008,0.172
0.036,0.604210321615271,0.204684943668053,0.926273928351302,0.864514581021009,0.266061895174079,-0.627491664567485,0.172
0.038,0.603868147603636,0.207472904123816,0.925175997377115,0.848565162761045,0.266582959704764,-0.608711382357551,0.172
0.04,0.603525973592001,0.210248195043097,0.924078066402928,0.832880626934845,0.26710402423545,-0.590085272706676,0.172
0.042,0.603183799580367,0.213010988894691,0.922980135428741,0.817460426754329,0.267625088766135,-0.571613342095834,0.172
0.044,0.602841625568732,0.215761467474916,0.921882204454554,0.802304002589663,0.268146153296821,-0.553295597019116,0.172
0.046,0.602499451557097,0.218499821529721,0.920784273480368,0.787410781564859,0.268667217827506,-0.535132043980155,0.172
0.048,0.602157277545463,0.221226249905198,0.91968634250618,0.772780177133997,0.269188282358191,-0.517122689488339,0.172
0.05,0.601815103533828,0.22394095791066,0.918588411531994,0.764275768204993,0.269709346888877,-0.499267540054554,0.172
0.052,0.601472929522194,0.22664415436087,0.917490480557807,0.757250466277393,0.270230411419562,-0.481566602186814,0.172
0.054,0.601130755510559,0.229336046381305,0.91639254958362,0.754848855796629,0.270751475950247,-0.464019882385399,0.172
0.056,0.600788581498924,0.232016829424877,0.915294618609433,0.754047473154696,0.271272540480932,-0.446627387137678,0.172
0.058,0.600446407487289,0.234686567890365,0.914196687635246,0.748469905134535,0.271793605011618,-0.429389122912591,0.172
0.06,0.600104233475655,0.237345056406067,0.913098756661059,0.739277720905409,0.272314669542303,-0.412305096154617,0.172
0.062,0.59976205946402,0.239991997835214,0.912000825686872,0.728309682331989,0.272835734072988,-0.395375313277401,0.172
